;roberta_com;DATE;SIGN;vaders
105;0.5384801551699638;03-22-2014;aries;0.7057
106;0.9507857183925807;03-23-2014;aries;0.9485
107;-0.13900530338287354;03-24-2014;aries;0.4745
108;0.009411618674493949;03-25-2014;aries;0.7158
109;0.6151401549577713;03-26-2014;aries;0.9349
110;0.8849265826866031;03-27-2014;aries;0.8805
111;0.9448440427659079;03-28-2014;aries;0.9349
112;0.9159003456588835;03-29-2014;aries;0.9783
113;0.920374253012329;03-30-2014;aries;0.8979
114;0.22851257026195526;03-31-2014;aries;0.3291
115;-0.41421544551849365;04-01-2014;aries;-0.6486
116;0.15508200228214264;04-02-2014;aries;0.4019
117;0.37891021394194446;04-03-2014;aries;0.7269
118;0.35473944871064716;04-04-2014;aries;-0.7992
119;-0.08224251866340637;04-05-2014;aries;0.8126
120;0.36614564061164856;04-06-2014;aries;0.8608
121;0.9742951851803809;04-07-2014;aries;0.9477
122;-0.037034109234809875;04-08-2014;aries;-0.0968
123;-0.7302786130458117;04-09-2014;aries;-0.2023
124;-0.4296119213104248;04-10-2014;aries;0.9055
125;-0.3828491372943953;04-11-2014;aries;0.0
126;0.09768125740513117;04-12-2014;aries;0.9081
127;-0.23521866649389267;04-13-2014;aries;-0.3902
128;0.868844480253756;04-14-2014;aries;0.7906
129;-0.19242411851882935;04-15-2014;aries;-0.5719
130;0.883961396291852;04-16-2014;aries;0.9452
131;0.09291242063045502;04-17-2014;aries;0.7851
132;0.6353446847405841;04-18-2014;aries;0.6114
133;0.6791248302906752;04-19-2014;aries;0.9081
134;-0.6070016622543335;04-20-2014;aries;-0.4614
135;-0.4659185819327831;04-21-2014;aries;0.5106
136;-0.8157681899230593;04-22-2014;aries;0.6365
137;0.20545171946287155;04-23-2014;aries;0.09
138;0.2460426390171051;04-24-2014;aries;0.4939
139;0.4884839423587288;04-25-2014;aries;0.7227
140;0.4354472979903221;04-26-2014;aries;0.7579
141;-0.5730928741395473;04-27-2014;aries;0.9623
142;-0.06724347174167633;04-28-2014;aries;-0.6866
143;0.672812934499234;04-29-2014;aries;0.5719
144;0.4573525059968233;05-01-2014;aries;0.5859
145;-0.13507458567619324;05-02-2014;aries;0.8955
146;0.019962293510163605;05-03-2014;aries;0.6249
147;0.95985601330176;05-04-2014;aries;0.6124
148;0.29970839619636536;05-05-2014;aries;0.8555
149;0.32297901064157486;05-06-2014;aries;0.6561
150;0.9291394473984838;05-07-2014;aries;0.9643
151;-0.7217006387085103;05-08-2014;aries;-0.1625
152;-0.6524110720412646;05-09-2014;aries;-0.872
153;0.3740657008627475;05-10-2014;aries;0.5009
154;-0.38004641264953687;05-12-2014;aries;-0.1454
155;0.22260409593582153;05-13-2014;aries;-0.4969
156;-0.49828047305345535;05-14-2014;aries;0.1779
157;0.10610112435228373;05-15-2014;aries;0.3182
158;-0.25081176310777664;05-16-2014;aries;0.8193
159;-0.14340774714946747;05-17-2014;aries;0.6096
160;0.7132113426923752;05-18-2014;aries;0.4464
161;-0.37558472905067974;05-19-2014;aries;-0.7845
162;0.5524402596056461;05-20-2014;aries;0.5562
